Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999984,0.997500,0.624500,0.942500
Hadoop,0.995869,0.869000,0.506500,11.772500
Spark,0.991018,0.905000,0.382000,2.944000
Zookeeper,0.995291,0.921000,0.496000,2.671500
BGL,0.999554,0.957000,0.343500,5.057000
HPC,0.992206,0.903000,0.677500,0.959000
Thunderbird,0.999130,0.941000,0.036000,14.730500
Windows,0.999281,0.689500,0.153000,10.766500
Linux,0.785998,0.405000,0.173500,15.632500
Android,0.948555,0.682000,0.392500,9.395500
HealthApp,0.863969,0.567500,0.162500,19.055500
Apache,1.000000,1.000000,0.693500,10.217500
Proxifier,0.786336,0.495000,0.495000,10.206500
OpenSSH,0.987209,0.536500,0.245500,4.947000
OpenStack,0.986042,0.757500,0.018500,19.402500
Mac,0.962113,0.763500,0.169000,18.901500
