Dataset,F1_measure,Accuracy,MLA,ED
Proxifier,1.000000,1.000000,0.526500,5.682000
HDFS,0.999984,0.997500,0.958500,0.492000
Hadoop,0.998749,0.949000,0.155000,18.795000
Spark,0.999980,0.997500,0.375500,2.820500
Zookeeper,0.999800,0.987500,0.501000,2.310000
BGL,0.999932,0.986000,0.407000,3.522500
HPC,0.997707,0.945000,0.660000,0.700500
Thunderbird,0.999933,0.971000,0.045000,10.696500
Windows,0.999995,0.997000,0.461000,2.203000
Linux,0.999992,0.996000,0.174500,10.523000
Android,0.987429,0.863000,0.238500,12.176000
HealthApp,1.000000,1.000000,0.253500,4.054500
Apache,1.000000,1.000000,0.699500,10.197500
OpenSSH,0.999996,0.998500,0.285000,5.295000
OpenStack,1.000000,1.000000,0.112000,3.282000
Mac,0.995821,0.942000,0.342000,12.805500
