Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999984,0.997500,0.625500,0.940000
Hadoop,0.998989,0.947500,0.513500,12.595500
Spark,0.991876,0.920000,0.382000,2.375500
Zookeeper,0.999536,0.966500,0.497000,2.287500
BGL,0.999599,0.962500,0.343500,4.972500
HPC,0.990644,0.887000,0.635500,1.807000
Thunderbird,0.999329,0.955000,0.046500,14.632000
Windows,0.999994,0.997000,0.462000,4.966000
Linux,0.992437,0.690000,0.172000,13.986000
Android,0.987175,0.830500,0.547500,6.939500
HealthApp,0.918381,0.780000,0.230500,18.466000
Apache,1.000000,1.000000,0.693500,10.217500
Proxifier,0.784886,0.526500,0.503500,10.138000
OpenSSH,0.999224,0.789000,0.508000,7.513500
OpenStack,0.992536,0.732500,0.018500,30.603000
Mac,0.975451,0.786500,0.217500,20.989000
