Dataset,F1_measure,Accuracy,MLA,ED
HDFS,1.000000,1.000000,0.000000,7.799500
Hadoop,0.996377,0.954000,0.104500,17.046000
Spark,0.991876,0.920000,0.320500,4.552000
Zookeeper,0.999462,0.961500,0.452000,4.451000
BGL,0.999110,0.939000,0.292500,6.959000
HPC,0.978379,0.829000,0.637500,2.129500
Thunderbird,0.998711,0.663000,0.029500,13.308500
Windows,0.994604,0.567000,0.001000,14.534500
Linux,0.964118,0.671500,0.148000,10.387500
Android,0.949163,0.756000,0.099500,24.528000
HealthApp,0.958110,0.821500,0.149000,11.945500
Apache,1.000000,1.000000,0.693500,10.281500
Proxifier,0.786398,0.516500,0.000000,16.794000
OpenSSH,0.997591,0.541500,0.000000,10.288000
OpenStack,0.909057,0.330500,0.000000,22.592000
Mac,0.957185,0.670500,0.040500,21.644500
