Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999545,0.885000,0.155500,23.851500
Hadoop,0.998121,0.900000,0.483500,23.929500
Spark,0.999968,0.993500,0.379000,8.013500
Zookeeper,0.998478,0.838500,0.287500,18.525000
BGL,0.997902,0.854000,0.230000,12.601500
HPC,0.975881,0.816500,0.609000,2.978000
Thunderbird,0.998657,0.648500,0.025500,19.905500
Windows,0.910200,0.588000,0.445500,9.002500
Linux,0.581437,0.278500,0.025500,16.037000
Android,0.923801,0.670000,0.296000,12.472000
HealthApp,0.916975,0.548500,0.148000,20.191500
Apache,1.000000,1.000000,0.687500,10.367500
Proxifier,0.801480,0.025500,0.000000,17.967000
OpenSSH,0.977020,0.500500,0.164000,23.131000
OpenStack,0.901897,0.200000,0.007500,29.966500
Mac,0.933583,0.599000,0.101500,40.545500
