EventId,EventTemplate,Occurrences
cc25f912,<*> <*> <*> = <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
d509946e,"acquire lock=<*>, flags=<*>, <*> <*> <*> <*> <*> <*>",1
79c5193f,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",199
b003c9dd,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*><*>.<*> t761}}} -- going to hide,2
f42cee39,<*> is <*>,8
785034c2,<*> is <*> <*> <*>,2
ba284837,"release:lock=<*>, flg=<*>, <*> <*> <*> ws=null, uid=<*>, pid=<*>",1
6194cd91,"updateClipping <*> getTopPadding=<*>.<*>, <*>",39
27db42da,updateDimmedActivatedHideSensitive <*>,65
98f2fee7,<*> caller <*> does not hold REAL_GET_TASKS; limiting output,118
d6b29674,"release:lock=<*>, flg=<*>, <*> <*> <*> uid=<*>, pid=<*>",9
113077ce,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
382028dc,cancelAutohide,15
1b95fefb,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
e70e563c,Destroying surface <*> <*> <*> <*> <*> <*>:<*> <*>:<*> <*>:<*> <*> <*>:<*> <*>:<*> <*> <*> <*> <*> <*> <*> <*> <*>,1
6892ff34,Destroying surface <*> called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*> <*>:<*>,4
09c65893,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
94a7eba1,<*> change <*> <*> <*> <*>,1
0ab8378a,<*> <*> <*> <*> <*> to <*> u0 <*>,1
f62b1f00,startAnimation <*>,2
06023d3c,"release:lock=<*>, flg=<*>, <*> name=android"", ws=null, uid=<*>, pid=<*>",3
5636448e,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2
6e499fe7,<*> last=<*>); user=<*> USER_ROTATION_LOCKED,3
b8640e89,"<*> <*> <*> <*>, <*> <*> <*> <*> <*> <*> <*>",2
5bb8ffb6,"acquire lock=<*>, flags=<*>, <*> <*> ws=null, uid=<*>, pid=<*>",15
90dff9f4,shouldBlockLocation <*> <*>,37
05a3e9b3,shouldBlockLocation <*>,37
9b741bff,getNeighboringCellInfo calling app is <*>,5
74f5f893,"release:lock=<*>, flg=<*>, <*> <*> ws=null, uid=<*>, pid=<*>",13
b3af747b,"<*> suspend blocker ""PowerManagerService.WakeLocks"".",66
f3a0a226,HBM <*> =<*>,170
ada2ed50,"Animating brightness: target=<*>, rate=<*>",85
e5d03fc8,suspendAutohide,23
0e4edbd9,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down <*> canceled false,14
51d3963a,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
93d619b5,resumeSuspendedAutohide,10
01f8736c,querySoundEffectsEnabled...,17
28b3df33,"acquire lock=<*>, flags=<*>, <*> <*> <*> uid=<*>, pid=<*>",8
4df8084d,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t761}}} -- going to hide,2
ce102768,Bad activity token: <*>@<*>,1
03b35675,<*>: <*> <*> <*> <*> <*> <*>,1
3db7322e,"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",2
278bbeeb,schedulePeek,1
e684be4d,getRingtonePlayer...,2
76dd8dd1,disable: < expand <*> alerts <*> back home recent clock navigationbar search quick_settings >,6
d0d9c08a,<*> <*> = <*> <*> <*>,6
7ff909c5,"updateLightsLocked,turn off notificationLight",6
9a2c9b52,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:-<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():-<*>",13
d10c761e,<*> i:<*>,13
91480d6f,"updateClipping <*> getTopPadding=<*>.<*>, Translation=-<*>.<*>",13
b48be571,onExpandingStarted,2
e5ea7ae2,onTrackingStarted,1
4326f0f1,Destroying surface <*> called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*>,20
a1c3cf9d,cancelPeek: false,20
75328cc8,"flingToHeight: vel=<*>.<*>, <*> target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",2
c84240de,onTrackingStopped: true,1
3c9f2e24,onExpandingFinished,2
c5451b75,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, <*>",13
0a240d91,Sending non-protected broadcast <*> from system <*>:<*><*> pkg <*>,2
3efb5d4f,logNotificationVisibilityChanges runInThread <*>,12
d36a2ad1,<*> called,10
c5d50935,<*> <*> is <*> <*> <*>,1
1416dfe0,<*> <*> in <*>,3
24dddc21,<*>: <*> <*> <*> <*>,3
17e44520,*** <*> callback for <*>@<*>,1
4bdab5d0,*** unregister callback for <*>,1
f58d57c1,[PhoneIntfMgr] getDataEnabled: subId=<*> <*>,2
829bd9d0,"onInterceptTouchEvent MotionEvent { <*> actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false",4
32c3077e,playSoundEffect effectType: <*>,10
12407b2a,"animateCollapsePanels:flags=<*>, <*> <*> <*>",7
a825a254,START u0 {act=<*> <*> <*> <*> <*> from uid <*> on display <*>,1
f8851058,<*> <*> <*> <*> euid: <*>,4
eaf1c822,"cancelNotification,index:<*>",3
38a67d61,<*> <*> <*> = <*>,2
41a4e3e1,"cancelNotificationLocked called,tell the app,reason = <*>",2
9310a1fa,cancelNotificationLocked:<*>|<*>|<*>|null|<*>,2
31c80f06,"cancelNotificationLocked,remove =<*>",2
cac3547a,applyOptionsLocked: Unknown animationType=<*>,2
0170ebfb,<*> <*> from <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
38db71a3,removeNotification:<*>|<*>|<*>|null|<*>,2
95811169,"updateNotificationShade: total=<*>, active=<*>",13
4b48f58e,"animateCollapsePanels:flags=<*>, force=false, delayed=false, <*>",1
e7985a59,The change in focus caused us to need to do a layout <*>,12
8cebc887,setLightsOn(true),181
08027351,removeNotificationChildren,12
6f322c06,"Skipping, withExcluded: false, tr.intent:Intent { <*> <*> <*> <*>",14
e6532e24,"Skipping, withExcluded: false, tr.intent:Intent { <*> <*> <*> <*> <*> <*>",14
4d871ffe,"Skipping, withExcluded: false, tr.intent:Intent { <*> <*> <*> <*> <*>",21
