Dataset,F1_measure,Accuracy,MLA,ED
HDFS,1.000000,1.000000,0.000000,9.532000
Hadoop,0.867406,0.669500,0.002500,25.472500
Spark,0.226183,0.002000,0.000000,40.741500
Zookeeper,0.444737,0.437500,0.288000,25.102000
BGL,0.942901,0.645500,0.082000,12.781000
HPC,0.176637,0.000000,0.000000,22.716000
Thunderbird,0.982164,0.812500,0.008000,12.035000
Windows,0.999904,0.989500,0.147500,10.623500
Linux,0.925896,0.518500,0.021000,15.788000
Android,0.982691,0.839000,0.146500,15.535500
HealthApp,0.745722,0.461500,0.125500,15.996500
Apache,1.000000,1.000000,0.000000,14.711500
Proxifier,0.813394,0.495000,0.000000,15.498500
OpenSSH,0.936396,0.424000,0.068000,9.126500
OpenStack,0.935767,0.787000,0.010500,27.116000
Mac,0.028241,0.000000,0.000000,75.953500
