EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
def747b4,double-hummer alignment exceptions,109
5e9dd915,"CE sym 2, at 0x0b85eee0, mask 0x05",1
35956b9b,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,1
333ff570,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,1
1e014f4c,"CE sym 20, at 0x1438f9e0, mask 0x40",1
e727c5b7,generating,721
9f7cd7e7,force load/store alignment...............0,2
14f9aec7,"CE sym 20, at 0x01228120, mask 0x10",1
ac17a695,"CE sym 5, at 0x11042a80, mask 0x04",2
a553aad2,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1
3fdf05b3,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,1
24a26a12,"CE sym 28, at 0x110067e0, mask 0x02",1
7d3864ad,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",1
e3bd236a,"CE sym 14, at 0x06047860, mask 0x20",1
ca1b0af7,"CE sym 2, at 0x1b85f080, mask 0x02",1
eff13641,"CE sym 2, at 0x1b85fe80, mask 0x02",1
38a7307d,data TLB error interrupt,60
94574253,"CE sym 10, at 0x08d10580, mask 0x08",1
473b1afe,ciod: Message code 0 is not 51 or 4294967295,1
d2c9db9b,data storage interrupt,30
2c050cb7,instruction address: 0x00004ed8,20
ac8a6999,data address: 0x00000002,8
74814646,machine check: i-fetch......................0,5
08264f42,program interrupt: illegal instruction......0,5
8797b4b5,exception syndrome register: 0x00800000,5
7cc10966,data store interrupt caused by dcbf.........0,5
5f7a3f75,program interrupt: privileged instruction...0,5
f0490912,program interrupt: trap instruction.........0,1
14c982d9,program interrupt: imprecise exception......0,5
40c9c002,store operation.............................1,2
4f884f50,machine state register: 0x00002000,4
930a9735,data store interrupt caused by icbi.........0,5
6a308701,"problem state (0=sup,1=usr).......0",3
4a855bbd,floating point instr. enabled.....1,4
f28dcd0f,auxiliary processor.........................0,5
511c1d0d,machine check enable..............0,2
cba9de64,floating pt ex mode 0 enable......0,3
3cd4d8b4,program interrupt: unimplemented operation..0,2
2ec4bdb1,debug interrupt enable............0,1
b74d53ca,floating pt ex mode 1 enable......0,2
3971a417,byte ordering exception.....................0,2
ae9a7a4f,data address space................0,5
e19f7ea0,core configuration register: 0x00002000,7
39f84cff,program interrupt: fp cr update.............0,1
1335bf9d,guaranteed instruction cache block touch.0,2
df88d884,program interrupt: fp cr field .............0,4
53a936ba,guaranteed data cache block touch........1,1
