Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999984,0.997500,0.124000,2.882500
Hadoop,0.996539,0.885000,0.082500,16.534500
Spark,0.989073,0.883500,0.004000,10.343000
Zookeeper,0.998418,0.840500,0.451500,4.843500
BGL,0.939369,0.689500,0.082000,8.399000
HPC,0.980824,0.829500,0.632000,2.704000
Thunderbird,0.999708,0.943000,0.025500,8.927500
Windows,0.994594,0.565500,0.152500,19.465000
Linux,0.995105,0.701000,0.110500,12.151000
Android,0.989622,0.833500,0.546000,7.087000
HealthApp,0.393984,0.174000,0.129000,16.508500
Apache,1.000000,1.000000,0.000000,13.552000
Proxifier,0.776219,0.508000,0.495000,9.045500
OpenSSH,0.998993,0.926500,0.132500,8.041500
OpenStack,0.994537,0.732000,0.018500,21.197500
Mac,0.958653,0.698000,0.125000,21.117000
