Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.998840,0.850500,0.000000,9.022000
Hadoop,0.995530,0.869500,0.499500,12.000000
Spark,0.841196,0.575500,0.189000,14.839000
Zookeeper,0.985402,0.687500,0.451500,5.165000
BGL,0.970038,0.724500,0.105500,19.402000
HPC,0.975752,0.784000,0.632000,3.390500
Thunderbird,0.998775,0.918500,0.036000,15.133500
Windows,0.999987,0.992500,0.459000,5.713000
Linux,0.938952,0.611500,0.096500,14.515500
Android,0.900925,0.514000,0.072500,24.215500
HealthApp,0.917665,0.686500,0.218500,19.442000
Apache,1.000000,1.000000,0.693500,10.265500
Proxifier,0.719125,0.516500,0.000000,15.544500
OpenSSH,0.775871,0.429000,0.068000,8.828500
OpenStack,0.994108,0.743000,0.010500,22.155500
Mac,0.981544,0.876000,0.222000,18.171000
