Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.878375,0.508000,0.000000,11.029000
Hadoop,0.991263,0.632500,0.073500,24.290500
Spark,0.950993,0.543500,0.000000,12.107500
Zookeeper,0.998232,0.782500,0.449000,6.552500
BGL,0.933208,0.232000,0.081000,11.586500
HPC,0.745191,0.382000,0.533500,4.239500
Thunderbird,0.982687,0.755500,0.000000,11.965500
Windows,0.914486,0.681500,0.147000,6.451500
Linux,0.651881,0.107000,0.080000,13.578500
Android,0.856164,0.483500,0.127500,19.740000
HealthApp,0.610617,0.092000,0.121500,17.061000
Apache,0.949806,0.730500,0.000000,14.442000
Proxifier,0.910655,0.493500,0.000000,16.521000
OpenSSH,0.969419,0.442000,0.068000,8.779500
OpenStack,0.996399,0.838500,0.010500,19.877500
Mac,0.937878,0.517500,0.117000,28.560000
