Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.990518,0.930000,0.004500,19.296500
Hadoop,0.782490,0.451000,0.119000,27.234500
Spark,0.479691,0.282000,0.281000,7.259500
Zookeeper,0.923936,0.723500,0.473500,5.533500
BGL,0.956032,0.587000,0.124500,10.020500
HPC,0.993748,0.910500,0.643000,2.653000
Thunderbird,0.993876,0.554000,0.004000,16.208000
Windows,0.913735,0.694000,0.140500,6.699500
Linux,0.541378,0.361000,0.124000,16.032500
Android,0.966730,0.742000,0.278000,17.733500
HealthApp,0.587935,0.266500,0.112000,15.824500
Apache,0.637665,0.312500,0.006500,12.314500
Proxifier,0.750476,0.503500,0.000000,27.221500
OpenSSH,0.979344,0.610500,0.298000,6.190500
OpenStack,0.742866,0.325500,0.000000,63.961000
Mac,0.892896,0.568000,0.168500,22.503000
