Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999984,0.997500,0.000000,16.752000
Hadoop,0.996784,0.882500,0.079500,24.459500
Spark,0.503989,0.418000,0.002500,14.097000
Zookeeper,0.999572,0.964500,0.451000,4.820000
BGL,0.999250,0.943500,0.080000,10.958000
HPC,0.981777,0.853500,0.632000,3.628000
Thunderbird,0.998713,0.660000,0.016500,20.909500
Windows,0.912277,0.405000,0.006500,17.482000
Linux,0.733869,0.286500,0.030500,23.458500
Android,0.932820,0.720000,0.030000,41.539500
HealthApp,0.794228,0.439500,0.027000,21.697000
Apache,1.000000,1.000000,0.000000,10.099000
Proxifier,0.742606,0.000000,0.000000,40.617000
OpenSSH,0.997593,0.541500,0.000000,18.202000
OpenStack,0.726790,0.213000,0.000000,68.546500
Mac,0.943216,0.617500,0.036000,28.273000
