Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999984,0.997500,0.124000,2.235000
Hadoop,0.997513,0.867000,0.082500,16.038500
Spark,0.991526,0.906000,0.004000,6.761000
Zookeeper,0.993337,0.660000,0.428500,5.448000
BGL,0.994450,0.711000,0.064500,8.699500
HPC,0.541336,0.324500,0.225500,7.652000
Thunderbird,0.911185,0.576000,0.020000,12.477000
Windows,0.912983,0.700500,0.150000,4.422500
Linux,0.975457,0.671500,0.098500,12.527500
Android,0.851006,0.592000,0.338500,13.396000
HealthApp,0.842471,0.397000,0.040000,24.373000
Apache,1.000000,1.000000,0.000000,12.440500
Proxifier,0.779640,0.516500,0.495000,9.864500
OpenSSH,0.997643,0.620500,0.132500,5.474000
OpenStack,0.993697,0.721500,0.018500,20.937000
Mac,0.959845,0.595000,0.156000,20.900000
