Dataset,F1_measure,Accuracy,MLA,ED
HDFS,1.000000,1.000000,0.300500,1.385500
Hadoop,0.920197,0.777500,0.112500,24.375000
Spark,0.991018,0.905000,0.320500,5.675500
Zookeeper,0.999549,0.963500,0.452000,3.188000
BGL,0.956932,0.786500,0.196500,7.982000
HPC,0.986063,0.654000,0.529500,4.924000
Thunderbird,0.994456,0.843500,0.026500,15.683500
Windows,0.999974,0.988500,0.003500,3.199500
Linux,0.936822,0.605000,0.087500,17.629500
Android,0.983419,0.862500,0.150000,12.573500
HealthApp,0.886674,0.639000,0.152000,8.457500
Apache,1.000000,1.000000,0.693500,10.233500
Proxifier,0.832044,0.526500,0.478000,12.842000
OpenSSH,0.918042,0.555500,0.190500,7.303000
OpenStack,0.994108,0.764000,0.000000,30.592000
Mac,0.963472,0.756500,0.032500,23.655000
