Dataset,F1_measure,Accuracy,MLA,ED
HDFS,0.999984,0.997500,0.000000,20.871000
Hadoop,0.999923,0.989500,0.000000,29.094000
Spark,0.994593,0.922000,0.000000,21.467000
Zookeeper,0.999876,0.992500,0.000000,12.303500
BGL,0.999453,0.930000,0.000000,19.196000
HPC,0.994433,0.950500,0.000000,9.400500
Thunderbird,0.998665,0.675500,0.000000,28.255500
Windows,0.989051,0.410000,0.000000,35.329000
Linux,0.476099,0.363500,0.000000,23.970000
Android,0.971417,0.838000,0.000000,34.401500
HealthApp,0.993431,0.901500,0.000000,17.199000
Apache,1.000000,1.000000,0.000000,24.075000
Proxifier,0.739766,0.024000,0.000000,23.518000
OpenSSH,0.939796,0.434000,0.000000,21.292000
OpenStack,0.834337,0.491500,0.000000,41.196000
Mac,0.981294,0.814000,0.000000,35.289500
