,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= {allDrawn}, startingDisplayed =  {startingDisplayed}, startingMoved =  {startingMoved}, isRelaunching =  {isRelaunching}",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",26
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",199
3,Skipping AppWindowToken{placeholder token=Token{placeholder ActivityRecord{placeholder}}} -- going to hide,2
4,visible is system.time.showampm,1
5,mVisiblity.getValue is {value},5
6,visible is system.charge.show,1
7,visible is system.call.count gt 0,1
8,visible is system.message.count gt 0,1
9,visible is system.ownerinfo.show,1
10,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}"", ws={ws}, uid={uid}, pid={pid}",13
11,"updateClipping isOverlap:{isOverlap}, getTopPadding={getTopPadding}, Translation={Translation}",65
12,updateDimmedActivatedHideSensitive overlap:{overlap},65
13,getRunningAppProcesses: caller {caller} does not hold REAL_GET_TASKS; limiting output,81
14,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",13
15,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds=Rect({fullscreenStackBounds}), dockedStackBounds=Rect({dockedStackBounds})",200
16,cancelAutohide,15
17,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
18,Destroying surface Surface(name={name}) called by {caller}:{line} {nextCaller}:{nextLine} {nextNextCaller}:{nextNextLine} {nextNextNextCaller}:{nextNextNextLine} {bottomOfCallStack},1
19,Destroying surface Surface(name={name}) called by {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} {caller}:{line} android.view.IWindowS,1
20,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
21,"orientation change is complete, call stopFreezingDisplayLocked",1
22,Screen frozen for +{time}s{ms} due to {window},1
23,startAnimation begin,1
24,startAnimation end,1
25,remove({pendingIntent}) changed bounds; rebatching,2
26,"rotationForOrientationLw(orient={orient}, last={last}); user={user} USER_ROTATION_LOCKED",3
27,"Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics",3
28,shouldBlockLocation running ...,37
29,shouldBlockLocation  ret:{ret},37
30,getNeighboringCellInfo calling app is {app},5
31,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
32,HBM brightnessIn ={value},85
33,HBM brightnessOut ={value},85
34,"Animating brightness: target={target}, rate={rate}",85
35,suspendAutohide,23
36,interceptKeyTq keycode={keycode} interactive={interactive} keyguardActive={keyguardActive} policyFlags={policyFlags} down {down} canceled {canceled},14
37,"interceptKeyBeforeQueueing: key {key} , result : {result}",14
38,resumeSuspendedAutohide,10
39,querySoundEffectsEnabled...,17
40,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
41,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
42,Bad activity token: {token},1
43,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
44,"onTouchEvent::{arg1}, x={x}, y={y}",1
45,schedulePeek,1
46,getRingtonePlayer...,2
47,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
48,"updateLightsLocked,mInCall ={mInCall},mScreenOn = {mScreenOn},ledNotification == null?{ledNotification}",6
49,"updateLightsLocked,turn off notificationLight",6
50,"overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen()}",11
51,"state.clipTopAmount:{clipTopAmount}, i:{i}",13
