,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>), dockedStackBounds=Rect(<*>)",200
1,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",199
2,setLightsOn(<*>),181
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
7,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
9,updateDimmedActivatedHideSensitive overlap:<*>,65
10,"Skipping, withExcluded: <*>, tr.intent:<*>",63
11,shouldBlockLocation running ...,37
12,shouldBlockLocation ret:<*>,37
13,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
14,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
15,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
16,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
17,suspendAutohide,23
18,"cancelNotification,index:<*>",23
19,cancelPeek: <*>,20
20,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
21,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
22,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*> <*>,19
23,querySoundEffectsEnabled...,17
24,cancelAutohide,15
25,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
26,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
27,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
28,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",13
29,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",13
30,"state.clipTopAmount:<*>, i:<*>",13
31,"updateNotificationShade: total=<*>, active=<*>",13
32,removeNotificationChildren,12
33,closeQs,12
34,isMusicActive...,12
35,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():{getLocationOnScreen()}",11
36,resumeSuspendedAutohide,10
37,playSoundEffect effectType: <*>,10
38,instantCollapse,9
39,getLastAudibleStreamVolume treamType: <*>,9
40,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
41,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity},8
42,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",6
43,"updateLightsLocked,turn off notificationLight",6
44,logNotificationVisibilityChanges runInThread start,6
45,onNotificationVisibilityChanged called,6
46,logNotificationVisibilityChanges runInThread over,6
47,The change in focus caused us to need to do a layout begin,6
48,The change in focus caused us to need to do a layout end,6
49,cleanUpApplicationRecord -- <*>,6
50,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
51,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
52,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
53,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
54,mVisiblity.getValue is <*>,5
55,getNeighboringCellInfo calling app is <*>,5
56,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]={id[<*>]}, x[<*>]={x[<*>]}, y[<*>]={y[<*>]}, toolType[<*>]={toolType[<*>]}, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",4
57,"Taking screenshot from Surface with crop:[<*>], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
58,makeExpandedInvisible: mExpandedVisible=<*>,4
59,"ActivityManagerService,attachApplication,callingPid = <*>",4
60,mHeadsUpExistenceChangedRunnable,4
61,getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor},4
62,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
63,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
64,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
65,registerCallback not in UI.,3
66,android.util.AndroidRuntimeException: Must execute in UI,3
67,"ActivityRecord info: ActivityInfo{$<*>}, euid: $<*>",3
68,disable: < <*> >,3
69,"sending alarm Alarm{$<*> type $<*> when $<*> PendingIntent{$<*>}},repeatInterval = $<*>,listenerTag =$<*>",3
70,Received TIME_TICK alarm; rescheduling,3
71,scheduleTimeTickEvent triggerAtTime = <*>,3
72,received broadcast android.intent.action.TIME_TICK,3
73,handleTimeUpdate,3
74,getRingerMode...,3
75,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
76,Skipping AppWindowToken{placeholder token=Token{placeholder <*>}} -- going to hide,2
77,remove(<*>) changed bounds; rebatching,2
78,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
79,"onTouchEvent::<*>, x=<*>, y=<*>",2
80,getRingtonePlayer...,2
81,onExpandingStarted,2
82,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",2
83,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>",2
84,onExpandingFinished,2
85,Sending non-protected broadcast <*> from system <*>: <*>,2
86,*** unregister callback for <*>,2
87,onNotificationClick called,2
88,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2
