,EventTemplate,Occurrences
0,instruction cache parity error corrected,42
1,63543 double-hummer alignment exceptions,1
2,162 double-hummer alignment exceptions,1
3,141 double-hummer alignment exceptions,1
4,"CE sym {sym}, at {address}, mask {mask}",92
5,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port},3
6,generating core.{core_number},115
7,generating core.{pid},182
8,generating core.{code},217
9,generating core.{core_id},204
10,force load/store alignment...............{value},2
11,ciod: cpu {cpu} at treeaddr {treeaddr} sent unrecognized message {message},1
12,ciod: LOGIN chdir({directory}) failed: {error},16
13,"1 ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",12
14,data TLB error interrupt,60
15,ciod: Message code {code} is not {value} or {value},1
16,data storage interrupt,30
17,instruction address: {address},21
18,data address: {address},8
19,machine check: i-fetch......................{code},5
20,program interrupt: illegal instruction......{value},8
21,exception syndrome register: {register},3
22,exception syndrome register: {register_value},3
23,data store interrupt caused by dcbf.........{code},4
24,program interrupt: privileged instruction...{value},5
25,program interrupt: trap instruction.........{value},1
26,program interrupt: imprecise exception......{value},5
27,store operation.............................{code},2
28,machine state register: {register},4
29,data store interrupt caused by icbi.........{value},3
30,"problem state (0=sup,1=usr).......{state}",3
31,floating point instr. enabled.....{value},4
32,auxiliary processor.........................{code},5
33,machine check enable..............{value},2
34,floating pt ex mode {mode} enable......{enable},5
35,program interrupt: unimplemented operation..{code},2
36,debug interrupt enable............{value},1
37,byte ordering exception.....................{code},2
38,data address space................{space},5
39,core configuration register: {register_value},7
40,program interrupt: fp cr update.............{value},1
41,guaranteed instruction cache block touch.{block},2
42,program interrupt: fp cr field .............{value},4
43,guaranteed data cache block touch........{code},1
44,icache prefetch depth....................{depth},1
45,icache prefetch threshold................{threshold},2
46,wait state enable.................{value},1
47,critical input interrupt enable...{value},1
48,special purpose registers:,1
49,lr:{lr_value} cr:{cr_value} xer:{xer_value} ctr:{ctr_value},1
50,rts internal error,1
51,debug wait enable.................{value},2
52,instruction address space.........{value},1
53,disable store gathering..................{code},3
54,total of {count} ddr error(s) detected and corrected,13
55,"ciod: Error loading {path}: invalid or missing program image, No such file or directory",20
56,ciod: Error creating node map from file {file_path}: No child processes,1
57,199680 double-hummer alignment exceptions,1
58,1969920 double-hummer alignment exceptions,1
59,2576000 double-hummer alignment exceptions,1
60,{exception_count} double-hummer alignment exceptions,8
61,6182400 double-hummer alignment exceptions,3
62,3091200 double-hummer alignment exceptions,3
63,23431872 double-hummer alignment exceptions,1
64,259966605 double-hummer alignment exceptions,1
65,255244071 double-hummer alignment exceptions,1
66,259822751 double-hummer alignment exceptions,1
67,program interrupt,3
68,data store interrupt caused by {cause}.........{code},2
69,data store interrupt caused by {instruction}.........{code},1
70,Node card is not fully functional,6
71,344040 double-hummer alignment exceptions,3
72,ciod: Error creating node map from file {file_path}: Bad file descriptor,1
73,Ido chip status changed: {mac_address} ip={ip_address} v={version} t={type} status={status} {timestamp},5
74,Can not get assembly information for node card,6
75,1146800 double-hummer alignment exceptions,23
76,458720 double-hummer alignment exceptions,8
77,ciod: Missing or invalid fields on line {line_number} of node map file {file_path},2
78,1 torus receiver z+ input pipe error(s) (dcr {dcr}) detected and corrected,1
79,generating core.{year},2
80,632431728 double-hummer alignment exceptions,1
81,634368144 double-hummer alignment exceptions,1
82,633283776 double-hummer alignment exceptions,1
83,ciod: duplicate canonical-rank {canonical_rank} to logical-rank {logical_rank} mapping at line {line_number} of node map file {file_path},1
84,ciod: Error creating node map from file {file_path}: Block device required,1
85,1365301360 double-hummer alignment exceptions,1
86,1315337824 double-hummer alignment exceptions,1
87,1401390016 double-hummer alignment exceptions,1
88,rts panic! - stopping execution,2
89,118661512 double-hummer alignment exceptions,1
90,112099344 double-hummer alignment exceptions,1
91,113170696 double-hummer alignment exceptions,1
92,117400328 double-hummer alignment exceptions,1
93,112762744 double-hummer alignment exceptions,1
94,116130784 double-hummer alignment exceptions,1
95,114147592 double-hummer alignment exceptions,1
96,113622512 double-hummer alignment exceptions,1
97,114059360 double-hummer alignment exceptions,1
98,114091808 double-hummer alignment exceptions,1
99,115325776 double-hummer alignment exceptions,1
100,113982272 double-hummer alignment exceptions,1
101,113355952 double-hummer alignment exceptions,1
102,115193048 double-hummer alignment exceptions,1
103,111990296 double-hummer alignment exceptions,1
104,112625368 double-hummer alignment exceptions,1
105,116249832 double-hummer alignment exceptions,1
106,112481672 double-hummer alignment exceptions,1
107,116332728 double-hummer alignment exceptions,1
108,generating core.{core_version},1
109,ciod: Error creating node map from file {file_path}: Permission denied,1
110,ciod: Z coordinate {coord} exceeds physical dimension {dim} at line {line} of node map file {file},1
111,"rts: kernel terminated for reason {reason}rts: bad message header: invalid cpu, type={type}, cpu={cpu}, index={index}, total={total}",1
112,{exception_count} floating point alignment exceptions,81
113,15 floating point alignment exceptions,11
114,5 floating point alignment exceptions,17
115,685 floating point alignment exceptions,4
116,New ido chip inserted into the database: {ido_chip} ip={ip_address} v={version} t={type},3
117,NodeCard is not fully functional,1
118,"Node card status: ALERT {alert_0}, ALERT {alert_1}, ALERT {alert_2}, ALERT {alert_3} is (are) active. Clock Mode is {clock_mode}. Clock Select is {clock_select}. Phy JTAG Reset is {phy_jtag_reset}. ASIC JTAG Reset is not {asic_jtag_reset}. Temperature Mask is {temperature_mask}. No temperature {temperature_error}. Temperature Limit Error Latch is {temperature_limit_error_latch}. PGOOD is {pgood}. PGOOD error latch is {pgood_error_latch}. MPGOOD is {mpgood}. MPGOOD error latch is {mpgood_error_latch}. The 2.5 volt rail is {volt_2_5}. The 1.5 volt rail is {volt_1_5}.",1
119,"Node card VPD check: U11 node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",3
120,idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={file} Source line={line} Function={function},35
121,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The {volt} volt rail is OK. The {volt} volt rail is OK.,5
122,"Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid {ecid}, found {found}",1
123,"PrepareForService shutting down NodeCard(mLctn({lctn}), mCardSernum({sernum}), mLp({lp}), mIp({ip}), mType({type})) as part of Service Action {action}",1
