,EventTemplate,Occurrences
0,generating core.<*>,721
1,iar <*> dear <*>,208
2,<*> floating point alignment exceptions,118
3,<*> double-hummer alignment exceptions,109
4,"CE sym <*>, at <*>, mask <*>",92
5,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
6,data TLB error interrupt,60
7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
8,instruction cache parity error corrected,42
9,idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=<*> Source line=<*> Function=<*>,35
10,data storage interrupt,30
11,ciod: generated <*> core files for program <*>,30
12,instruction address: <*>,21
13,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",21
14,"ciod: Error loading <*>: invalid or missing program image, Permission denied",19
15,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",18
16,ciod: LOGIN chdir(<*>) failed: <*>,17
17,"ciod: Error loading <*>: invalid or missing program image, Exec format error",17
18,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
19,total of <*> ddr error(s) detected and corrected,13
20,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,9
21,Lustre mount FAILED : <*> : point <*>,9
22,data address: <*>,8
23,program interrupt: illegal instruction......<*>,8
24,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed",8
25,core configuration register: <*>,7
26,MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),7
27,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",7
28,exception syndrome register: <*>,6
29,Node card is not fully functional,6
30,Can not get assembly information for node card,6
31,rts: kernel terminated for reason <*>,6
32,data cache search parity error detected. attempting to correct,6
33,machine check: i-fetch......................<*>,5
34,program interrupt: privileged instruction...<*>,5
35,program interrupt: imprecise exception......<*>,5
36,auxiliary processor.........................<*>,5
37,floating pt ex mode <*> enable......<*>,5
38,data address space................<*>,5
39,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>,5
40,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,5
41,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",5
42,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",5
43,data store interrupt caused by dcbf.........<*>,4
44,machine state register: <*>,4
45,floating point instr. enabled.....<*>,4
46,program interrupt: fp cr field .............<*>,4
47,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer",4
48,total of <*> ddr error(s) detected and corrected over <*> seconds,4
49,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
50,data store interrupt caused by icbi.........<*>,3
51,"problem state (<*>=sup,<*>=usr).......<*>",3
52,disable store gathering..................<*>,3
53,program interrupt,3
54,data store interrupt caused by <*>.........<*>,3
55,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
56,"Node card VPD check: U11 node in processor card slot <*> do not match. VPD ecid <*>, found <*>",3
57,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,3
58,ciod: pollControlDescriptors: Detected the debugger died.,3
59,\,3
60,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>)",3
61,force load/store alignment...............<*>,2
62,store operation.............................<*>,2
63,machine check enable..............<*>,2
64,program interrupt: unimplemented operation..<*>,2
65,byte ordering exception.....................<*>,2
66,guaranteed instruction cache block touch.<*>,2
67,icache prefetch threshold................<*>,2
68,debug wait enable.................<*>,2
69,ciod: Missing or invalid fields on line <*> of node map file <*>,2
70,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,2
71,rts panic! - stopping execution,2
72,ciod: LOGIN chdir(pwd) failed: No such file or directory,2
73,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",2
74,suppressing further interrupts of same type,2
75,"Node card VPD check: U01 node in processor card slot <*> do not match. VPD ecid <*>, found <*>",2
76,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",2
77,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,2
78,Lustre mount FAILED : <*> : block_id : <*>,2
79,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out",2
80,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,2
81,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
82,ciod: Message code <*> is not <*> or <*>,1
83,program interrupt: trap instruction.........<*>,1
84,debug interrupt enable............<*>,1
85,program interrupt: fp cr update.............<*>,1
86,guaranteed data cache block touch........<*>,1
87,icache prefetch depth....................<*>,1
88,wait state enable.................<*>,1
89,critical input interrupt enable...<*>,1
90,special purpose registers:,1
91,lr:<*> cr:<*> xer:<*> ctr:<*>,1
92,rts internal error,1
93,instruction address space.........<*>,1
94,ciod: Error creating node map from file <*>: No child processes,1
95,ciod: Error creating node map from file <*>: Bad file descriptor,1
96,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
97,ciod: Error creating node map from file <*>: Block device required,1
98,ciod: Error creating node map from file <*>: Permission denied,1
99,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
100,"rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",1
101,NodeCard is not fully functional,1
102,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is not <*>. Temperature Mask is <*>. No temperature <*>. Temperature Limit Error Latch is <*>. PGOOD is <*>. PGOOD error latch is <*>. MPGOOD is <*>. MPGOOD error latch is <*>. The <*> volt rail is <*>. The <*> volt rail is <*>.",1
103,"Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid <*>, found <*>",1
104,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
105,rts tree/torus link training failed: wanted: <*> got: <*>,1
106,"Node card VPD check: U11 node in processor card slot J18 do not match. VPD ecid <*>, found <*>",1
107,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,1
108,"ciod: In packet from node <*> (<*>), message code <*> is not <*> or <*> (softheader=<*>)",1
109,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected,1
110,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",1
111,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,1
112,critical input interrupt (unit=<*> bit=<*>): warning for torus <*> wire,1
113,shutdown complete,1
114,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire,1
115,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,1
116,"Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid <*>, found <*>",1
117,dbcr0=<*> dbsr=<*> ccr0=<*>,1
118,r24=<*> r25=<*> r26=<*> r27=<*>,1
119,"PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
120,minus normalized number..................<*>,1
121,fraction rounded.........................<*>,1
122,"critical input interrupt (unit=<*> bit=<*>): warning for tree <*> wire, suppressing further interrupts of same type",1
123,size of scratchpad portion of L3.........<*> (<*>),1
124,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>)",1
125,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,1
126,"ciod: Error loading <*>: program image too big, <*> > <*>",1
127,fpr29=<*> <*> <*> <*>,1
128,Machine State Register: <*>,1
