,EventTemplate,Occurrences
0,PacketResponder {PacketResponder} for block {block} terminating,311
1,BLOCK* NameSystem.addStoredBlock: blockMap updated: {source} is added to {block} size {size},312
2,BLOCK* NameSystem.addStoredBlock: blockMap updated: {destination} is added to {block} size {size},2
3,Received block {block} of size {size} from {path},292
4,Receiving block {block} src: {source} dest: {destination},292
5,BLOCK* NameSystem.allocateBlock: {path} {block},115
6,Verification succeeded for {block},20
7,Deleting block {block} file {path},263
8,{process} Served block {block} to {path},56
9,{ip_address}:50010 Served block {block} to {destination},10
10,{ip_address}:Got exception while serving {block} to {destination}:,18
11,{ip_address}:50010:Got exception while serving {block} to {destination}:,38
12,{ip_address}:50010 Served block {block} to {path},13
13,{ip_address}:Got exception while serving {path} to {destination}:,23
14,{ip_address}:50010:Got exception while serving {block} to /{destination}:,1
15,BLOCK* NameSystem.delete: {block} is added to invalidSet of {ip_address},56
16,BLOCK* NameSystem.delete: {block} is added to invalidSet of {destination},161
17,BLOCK* NameSystem.delete: {block} is added to invalidSet of {ip_address}:{port},7
18,{source} Starting thread to transfer block {block} to {destination},1
19,BLOCK* ask {source} to delete {block},2
20,{ip_address}:Served block {block} to {destination},1
21,Received block {block} src: {source} dest: {destination} of size {size},2
22,BLOCK* ask {source} to delete {blocks},3
23,BLOCK* ask {source} to replicate {block} to datanode(s) {destination},1
