,EventTemplate,Occurrences
0,Address change detected. Old: <*> New: <*>,476
1,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,326
2,Progress of TaskAttempt <*> is : <*>,289
3,ERROR IN CONTACTING RM.,147
4,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)",146
5,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>",131
6,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130
7,Resolved <*> to <*>,39
8,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14
9,Processing the event EventType: <*> for container <*> taskAttempt <*>,13
10,Opening proxy : <*>,13
11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,12
12,<*> Task Transitioned from NEW to SCHEDULED,11
13,Got allocated containers <*>,10
14,Assigned container <*> to <*>,10
15,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
16,Launching <*>,10
17,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>],10
18,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
19,<*> <*>,10
20,<*> Task Transitioned from SCHEDULED to RUNNING,10
21,Auth successful for <*> (auth:<*>),10
22,JVM with ID : <*> asked for a task,10
23,JVM with ID: <*> given task: <*>,10
24,Registering class <*> for class <*>,9
25,"getResources() for <*>: ask=<*> release=<*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>",9
26,<*> TaskAttempt Transitioned from <*> to <*>,8
27,<*> for <*> : <*>,7
28,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,5
29,Default file system [<*>],3
30,Processing the event EventType: <*>,3
31,getResources() for <*>: ask=<*> release=<*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> knownNMs=<*>,3
32,KILLING <*>,3
33,Diagnostics report from <*>: Error: <*>; For more details see: <*>,3
34,Using callQueue class <*>,2
35,Starting Socket Reader #<*> for port <*>,2
36,IPC Server Responder: starting,2
37,IPC Server listener on <*>: starting,2
38,adding path spec: <*>,2
39,Shuffle port returned by ContainerManager for <*> : <*>,2
40,Received completed container <*>,2
41,Task: <*> - exited : java.net.NoRouteToHostException: No Route to Host from <*>/<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,2
42,Task cleanup failed for attempt <*>,2
43,<*> failures on node <*>,2
44,Added <*> to list of failed maps,2
45,Created MRAppMaster for application <*>,1
46,Executing with tokens:,1
47,"Kind: <*>, Service: <*>, Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",1
48,Using mapred newApiCommitter.,1
49,OutputCommitter set in config <*>,1
50,OutputCommitter is <*>,1
51,Emitting job history data to the timeline server is not enabled,1
52,loaded properties from <*>,1
53,Scheduled snapshot period at <*> second(s).,1
54,<*> metrics system started,1
55,Adding job token for <*> to jobTokenSecretManager,1
56,Not uberizing <*> because: <*>; <*>; <*>;,1
57,Input size for job <*> = <*>. Number of splits = <*>,1
58,Number of reduces for job <*> = <*>,1
59,<*> Transitioned from NEW to INITED,1
60,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",1
61,Adding protocol <*> to the server,1
62,Instantiated MRClientService at <*>/<*>,1
63,Logging to <*> via <*>,1
64,Http request log for <*> is not defined,1
65,Added global filter '<*>' (class=<*>),1
66,Added filter <*> (class=<*>) to context <*>,1
67,Added filter <*> (class=<*>) to context static,1
68,<*> bound to port <*>,1
69,<*>,1
