,EventTemplate,Occurrences
0,onStandStepChanged {steps},260
1,onExtend:<timestamp> <value1> <value2> <value3>,272
2,onReceive action: android.intent.action.SCREEN_ON,17
3,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,17
4,flush sensor data,17
5,getTodayTotalDetailSteps = {timestamp}##{int}##{int}##{int}##{int}##{int},242
6,setTodayTotalDetailSteps={timestamp}##{int}##{int}##{int}##{int}##{int},241
7,calculateCaloriesWithCache totalCalories={calories},241
8,calculateAltitudeWithCache totalAltitude={altitude},241
9,REPORT : {value1} {value2} {value3} {value4},136
10,onReceive action: android.intent.action.SCREEN_OFF,17
11,isScreenOn {boolean},1
12,"screen status unknown,think screen on",1
13,processHandleBroadcastAction action:android.intent.action.TIME_TICK,144
14,flushTempCacheToDB by stand,1
15,Alarm uploadStaticsToDB totalSteps={steps} Calories:{calories} Floor:{floor} Distance:{distance},1
16,writeDataToDB size {size},1
17,"upLoadOneMinuteDataToEngine time={time},{int},{int},{int},{int}",5
18,getBinderPackageName packageName = {package_name},8
19,"getAppContext() isAppValid health or wear, packageName = {package_name}",2
20,insertHiHealthData() checkAppType  {int} appID = {int},1
21,"insertHiHealthData() size = {size},app = {app},One Data Type = {data_type},packageName = {package},writeStatType = {type}",2
22,"saveHealthDetailData() deviceID = {device_id},clientID={client_id},id={id}",2
23,"saveStatData() type ={type},time = {timestamp},statClient = {client},who is {id}",4
24,"new date ={timestamp}, type={type},{count},old={count}",17
25,"saveHealthDetailData() saveOneDetailData fail hiHealthData = {timestamp},type = {type}",2
26,"bulkSaveDetailHiHealthData() size = {size},totalTime = {time}",2
27,startListenerChange subscribeList = [{list}],2
28,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = {error_code},errorMessage = {error_message}",1
29,insertHiHealthData() end totalTime = {time},2
30,uploadStaticsToDB() onResult  type = {type} obj={boolean},1
31,uploadStaticsToDB failed message={boolean},1
32,checkInsertStatus stepSum or calorieSum is enough,2
33,checkInsertStatus stepStatSum or calorieStatSum is enough,2
34,"stepSyncOrNot appSynTimes is {app_sync}, statsyncTimes is {stat_sync}",1
35,"startInsertSportSync start auto sync,app is 1",2
36,"checkFirstSyncByType no such data in db ,type is {type} deviceCode is {device_code}",2
37,"startInsertSportSync first 500 steps sync,do all sync",2
38,"startSync hiSyncOption = HiSyncOption{syncAction={action}, syncMethod={method}, syncScope={scope}, syncDataType={data_type}, syncModel={model}, pushAction={action}},app = {app} who = {id}",5
39,insertHiHealthData() checkAppType  {int} appID = {app_id},1
40,needAutoSync autoSyncSwitch is {status},5
41,"initDataPrivacy the dataPrivacy switch is {status}, start push health data!",5
42,initDataPrivacy the dataPrivacy is {boolean},5
43,"initUserPrivacy the userPrivacy switch is {status}, start push user data!",5
44,initUserPrivacy the userPrivacy is {boolean},5
45,ifCanSync not! no cloud version,5
46,sendSyncFailedBroadcast,5
47,"saveRealTimeHealthDatasStat() size = {size},totalTime = {time}",1
48,InsertCallBack() onSuccess  type = {type} data={boolean},1
49,InsertEvent success begin:{begin} end:{end},1
50,setWriteDBLastDataMinute={value},1
51,setWriteDBLastDataMinute success,1
52,flush2DB result success,1
53,"stepSyncOrNot appSynTimes is {app_sync_times}, statsyncTimes is {stat_sync_times}",1
54,"timeStamp back,extendReportTimeStamp={timestamp}",5
55,startTimer start autoSync,3
56,stepSyncOrNot appSynTimes is 0,3
57,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,6
58,theDayChanged {timestamp},1
59,initEnviroument,1
60,getStepCounterStatus,1
61,getStepCounterStatus= {boolean},1
62,reStartStepCounter,1
63,registersensorsuccess: {boolean},1
64,clear(),1
65,getTodayBasicStandardSteps= {timestamp}##{int}##{int},2
66,tryToRecordAsBasicStepData bWrite {boolean},1
67,getDiffTotalSteps= {timestamp}##{int},2
68,setBasicStandardSteps basicStandardStep={steps} restartSteps={steps},1
69,setDiffTotalSteps={steps},1
70,tryToReloadTodayBasicSteps{timestamp}|{int}|{int}|{int},1
71,reload : {value1} {value2} {value3},1
72,next day:steps{int}mLastReport{int},1
73,setGoalNotifiShownRecord {timestamp} {boolean},1
74,closeNotification...,1
75,deleteHealthNotification(),1
76,onExtend:{timestamp} {value1} {value2} {value3},1
77,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is {current_day} oldDay is {old_day}",1
