,EventTemplate,Occurrences
0,IOThunderboltSwitch<{int}>({hex})::listenerCallback - Thunderbolt HPD packet for route = {hex} port = {int} unplug = {int},36
1,Thermal pressure state: {ThermalVal} Memory pressure state: {MemoryVal},39
2,FA||Url||taskID[{id}] dealloc,17
3,ARPT: {ARPT}: AirPort_Brcm43xx::syncPowerState: WWEN[{state}],12
4,ARPT: {ARPT}: AirPort_Brcm43xx::{message}: WWEN[{state}],16
5,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({address}),3
6,"ARPT: {ARPT}: IOPMPowerSource Information: onSleep,  SleepType: {SleepType},  'ExternalConnected': {ExternalConnected}, 'TimeRemaining': {TimeRemaining},",14
7,"ARPT: {ARPT}: wl0: wl_update_tcpkeep_seq: Original Seq: {seq}, Ack: {ack}, Win size: {win}",6
8,ARPT: {ARPT}: ARPT: Wake Reason: Wake on Scan offload,9
9,__{int}-[{class} {method}]_{block}_invoke {message},4
10,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
11,"ARPT: {ARPT}: wl0: MDNS: {SRV} SRV Recs, {TXT} TXT Recs",9
12,AppleCamIn::systemWakeCall - messageType = {messageType},10
13,"setting hostname to ""{hostname}""",7
14,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",35
15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {int},7
16,[{time}] <<<< CRABS >>>> crabsFlumeHostAvailable: [{address}] Byte flume reports host available again.,3
17,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",1
18,AirPort: Link Down on {interface}. Reason {code} ({reason}).,12
19,"PM response took {time} ms ({code}, {source})",1
20,"ARPT: {ARPT}: wl0: Roamed or switched channel, reason #{reason}, bssid {bssid}, last RSSI {RSSI}",4
21,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {hex} to {hex},7
22,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.",1
23,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.",1
