,EventTemplate,Occurrences
0,Cocoa scripting error for '<*>': <*>,71
1,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",45
2,AppleCamIn::systemWakeCall - messageType = 0xE0000340,45
3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
4,Thermal pressure state: <*> Memory pressure state: <*>,39
5,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
6,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",35
7,-[<*> <*>] <*>,35
8,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",32
9,"CCFile::captureLogRun Skipping current file Dir file [<*>]-<*>, Current File [<*>]-<*>",31
10,com.apple.Addres(<*>) deny network-outbound <*>,29
11,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,29
12,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
13,ARPT: <*>: AirPort_Brcm43xx::<*>: WWEN[<*>],27
14,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
15,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",24
16,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
17,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
18,AppleCamIn::wakeEventHandlerThread,20
19,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>",20
20,button report: <*>,19
21,"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",19
22,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - <*>,18
23,FA||Url||taskID[<*>] dealloc,17
