,EventTemplate,Occurrences
0,reverse mapping checking getaddrinfo for {hostname} [{ip_address}] failed - POSSIBLE BREAK-IN ATTEMPT!,85
1,Invalid user {user} from {ip},113
2,input_userauth_request: invalid user {user} [preauth],113
3,pam_unix(sshd:auth): check pass; user unknown,135
4,pam_unix(sshd:auth): authentication failure; logname= uid={id} euid={id} tty=ssh ruser= rhost={ip},105
5,Failed password for invalid user {user} from {ip} port {port} ssh2,135
6,Connection closed by {ip} [preauth],34
7,pam_unix(sshd:auth): authentication failure; logname= uid={id} euid={id} tty=ssh ruser= rhost={hostname},5
8,Received disconnect from {ip}: {message}: Bye Bye,5
9,Received disconnect from {ip}: {message}: Bye Bye [preauth],408
10,pam_unix(sshd:auth): authentication failure; logname= uid={id} euid={id} tty=ssh ruser= rhost={hostname}  user={user},1
11,Failed password for {user} from {ip} port {port} ssh2,383
12,message repeated {int} times: [ Failed password for {user} from {ip} port {port} ssh2],2
13,Disconnecting: Too many authentication failures for {user} [preauth],3
14,PAM {int} more authentication failures; logname= uid={id} euid={id} tty=ssh ruser= rhost={hostname}  user={user},1
15,PAM service(sshd) ignoring max retries; {int} > {int},7
16,pam_unix(sshd:auth): authentication failure; logname= uid={id} euid={id} tty=ssh ruser= rhost={ip}  user={user},99
17,Did not receive identification string from {ip},10
18,error: Received disconnect from {ip}: {int}: {message} [preauth],2
19,Received disconnect from {ip}: {message}: Closed due to user request. [preauth],7
20,Failed none for invalid user {user} from {ip} port {port} ssh2,2
21,PAM {int} more authentication failures; logname= uid={id} euid={id} tty=ssh ruser= rhost={ip},6
22,PAM {int} more authentication failure; logname= uid={id} euid={id} tty=ssh ruser= rhost={ip},2
23,pam_unix(sshd:auth): authentication failure; logname= uid={id} euid={id} tty=ssh ruser= rhost={ip} user={user},284
24,PAM {int} more authentication failures; logname= uid={id} euid={id} tty=ssh ruser= rhost={ip}  user={user},1
25,Failed {method} for invalid user {user} from {ip} port {port} ssh2,2
26,error: Received disconnect from {ip}: {message}: No more user authentication methods available. [preauth],45
27,Accepted password for {user} from {ip} port {port} ssh2,1
28,pam_unix(sshd:session): session opened for user {user} by (uid={id}),1
29,Received disconnect from {ip}: {message}: disconnected by user,1
30,pam_unix(sshd:session): session closed for user {user},1
31,fatal: Write failed: {message} [preauth],1
