,EventTemplate,Occurrences
0,"<*> ""GET <*>"" status: <*> len: <*> time: <*>",784
1,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",117
2,image <*> at (<*>): checking,82
3,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
4,Active base files: <*>,82
5,"<*> ""POST <*>"" status: <*> len: <*> time: <*>",64
6,[instance: <*>] VM Resumed (Lifecycle Event),44
7,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.,41
8,Unknown base file: <*>,30
9,Removable base files: <*>,30
10,[instance: <*>] VM Started (Lifecycle Event),22
11,[instance: <*>] VM Paused (Lifecycle Event),22
12,[instance: <*>] Instance spawned successfully.,22
13,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
14,[instance: <*>] Took <*> seconds to build instance.,22
15,[instance: <*>] Terminating instance,22
16,[instance: <*>] Instance destroyed successfully.,22
17,"<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>",21
18,[instance: <*>] Deleting instance files <*>,21
19,[instance: <*>] Deletion of <*> complete,21
20,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
21,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
22,Removing base or swap file: <*>,21
23,HTTP exception thrown: No instances found for any event,21
24,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
25,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
26,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
27,"[instance: <*>] Total disk: <*> GB, used: <*> GB",21
28,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
29,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
30,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
31,[instance: <*>] Claim successful,21
32,[instance: <*>] Creating image,21
33,[instance: <*>] VM Stopped (Lifecycle Event),21
34,Creating event network-vif-plugged:<*> for instance <*>,20
35,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>",19
36,Auditing locally available compute resources for node <*>,15
37,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
38,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,15
39,Compute_service record updated for <*>,15
40,Base or swap file too young to remove: <*>,9
41,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
42,"<*> ""GET <*>"" status: <*> len: <*> time: <*>""",2
43,Successfully synced instances from host '<*>'.,2
44,[instance: <*>] During sync_power_state the instance has a pending task (<*>) Skip.,2
45,Creating event <*> for instance <*>,2
46,"<*>,<*> ""GET <*>"" status: <*> len: <*> time: <*>",2
47,"<*>,<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",2
48,"""<*>,<*> """"<*> <*>"""" status: <*> len: <*> time: <*>""",2
49,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
50,"""<*> ""DELETE <*>"" status: <*> len: <*> time: <*>""",1
51,"""<*> \""DELETE <*>"" status: <*> len: <*> time: <*>""",1
52,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>""",1
53,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
54,"""<*> """"GET <*>"""" status: <*> len: <*> time: <*>""",1
