,EventTemplate,Occurrences
0,{host} open through proxy {proxy_server} HTTPS,915
1,"{host} close, {sent_size} bytes sent, {received_size} bytes received, lifetime {lifetime}",203
2,"{host} close, {sent_size} sent, {received_size} received, lifetime {lifetime}",732
3,{ip_address} open through proxy {host} SOCKS5,2
4,{host} error : A connection request was canceled before the completion.,31
5,{host} error : Could not connect through proxy {proxy_server} - Proxy closed the connection unexpectedly.,2
6,"{host} close, {sent_size} bytes sent, {received_size} bytes ({received_size_kb} KB) received, lifetime {lifetime}",4
7,"{ip_address}:{port} close, {sent_size} sent, {received_size} received, lifetime {lifetime}",7
8,{ip_address}:{port} open through proxy {host} {protocol},2
9,{ip_address} open through proxy {host} HTTPS,6
10,{host}:{port} open through proxy {proxy_server} {protocol},28
11,"{host} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",13
12,{ip_address}:{port} error : Could not connect through proxy {host} - Proxy closed the connection unexpectedly.,1
13,"{host} close, {sent_size} bytes sent, {received_size} received, lifetime {lifetime}",1
14,"{ip_address}:{port} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",3
15,{ip_address} error : Could not connect to proxy {host} - Could not resolve {host} error {code},1
16,{host} error : Could not connect to proxy {proxy_server} - Could not resolve {host} error {code},3
17,{host} error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {code},4
18,{host} error : Could not connect to proxy {host} - Could not resolve {host} error {code},8
19,{host}:{port} error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {code},1
20,"{host}:{port} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",1
21,{ip_address}:{port} error : Could not connect to proxy {host} - Could not resolve {host} error {code},3
22,{host} open through proxy {host} HTTPS,3
23,{host} error : Could not connect to proxy {proxy_server} - connection attempt failed with error {code},26
