,EventTemplate,Occurrences
0,<*> open through proxy <*> HTTPS,924
1,"<*> close, <*> sent, <*> received, lifetime <*>",739
2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",203
3,<*> error : A connection request was canceled before the completion.,31
4,<*> open through proxy <*> <*>,30
5,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,26
6,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,20
7,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",17
8,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",4
9,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
10,<*> open through proxy <*> SOCKS5,2
11,"<*> close, <*> bytes sent, <*> received, lifetime <*>",1
