,EventTemplate,Occurrences
0,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
1,Got assigned task <*>,305
2,Running task <*> in stage <*> (TID <*>),305
3,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
4,Found block <*> locally,257
5,"Partition <*> not found, computing it",75
6,"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)",60
7,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",52
8,Input split: <*>+<*>,44
9,Started reading broadcast variable <*>,37
10,Reading broadcast variable <*> took <*> ms,37
11,"Block <*> stored as values in memory (estimated size <*>, free <*>)",37
12,File Output Committer Algorithm version is <*>,30
13,Saved output of task '<*>' to <*>,30
14,<*>: <*>,30
15,Changing view acls to: <*>,2
16,Changing modify acls to: <*>,2
17,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
18,Successfully started service '<*>' on port <*>.,2
19,Registered signal handlers for [<*>],1
20,Slf4jLogger started,1
21,Starting remoting,1
22,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@<*>],1
23,Created local directory at <*>,1
24,MemoryStore started with capacity <*>,1
25,Connecting to driver: spark://<*>@<*>,1
26,Successfully registered with driver,1
27,Starting executor ID <*> on host <*>,1
28,Server created on <*>,1
29,Trying to register BlockManager,1
30,Registered BlockManager,1
31,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
32,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
33,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
34,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
35,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
36,Input split: <*>,1
