,EventTemplate,Occurrences
0,Session: <*> initialized by client WindowsUpdateAgent.,608
1,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",558
2,Warning: Unrecognized packageExtended attribute.,280
3,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
4,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
5,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18
6,Unloading offline registry hive: <*>,8
7,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",7
8,<*>@<*>/<*>/<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),6
9,"Creating NT transaction (seq <*>), objectname [<*>]",3
10,Loaded Servicing Stack <*> with Core: <*>.dll,2
11,Ending TrustedInstaller initialization.,2
12,Starting the TrustedInstaller main loop.,2
13,TrustedInstaller service starts successfully.,2
14,SQM: Initializing online with Windows opt-in: <*>,2
15,SQM: Requesting upload of all unsent reports.,2
16,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
17,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
18,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],2
19,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
20,NonStart: Checking to ensure startup processing was not required.,2
21,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>",2
22,<*>@<*>/<*>/<*> CSI perf trace:,2
23,"NonStart: Success, startup processing not required as expected.",2
24,Startup processing thread terminated normally,2
25,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION],2
26,SQM: Cleaning up report files older than <*> days.,1
27,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*>]",1
28,"<*> Created NT transaction (seq <*>) result 0x00000000, handle @0x214",1
29,<*> CSI Store <*> (0x00000000004c29e0) initialized,1
30,Reboot mark refs incremented to: <*>,1
31,Scavenge: Starts,1
32,"<*>@<*>/<*>/<*> CSI Transaction @0x47e9e0 initialized for deployment engine <*> with flags <*> and client id [<*>]""<*>""",1
33,Scavenge: Begin CSI Store,1
34,0000000a Performing <*> operations; <*> are not lock/unlock and follow:,1
35,"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
36,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>,1
37,"0000000e Created NT transaction (seq <seq>) result <result>, handle @<handle>",1
38,0000000f@2016/<*>/<*> CSI perf trace:,1
39,"Scavenge: Completed, disposition: 0X1",1
40,<*>@<*>/<*>/<*> CSI Transaction @<*> destroyed,1
41,Reboot mark refs: <*>,1
42,Idle processing thread terminated normally,1
43,Ending the TrustedInstaller main loop.,1
44,Starting TrustedInstaller finalization.,1
45,Ending TrustedInstaller finalization.,1
46,Starting TrustedInstaller initialization.,1
47,Cleaning up report files older than <*> days.,1
48,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]",1
49,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>",1
50,"Loading offline registry hive: <file>, into registry key '<*>' from path '<*>'.",1
51,Offline image is: read-only,1
52,"Disabling manifest caching, because the image is not writeable.",1
53,<*>@<*>/<*>/<*> PopulateComponentFamiliesKey - Begin,1
54,<*>@<*>/<*>/<*> PopulateComponentFamiliesKey - End,1
55,0000000a CSI Store <*> (0x000000000105d5b0) initialized,1
56,Session: <*> initialized by client SPP.,1
57,0000000b CSI Store <*> (0x00000000002ec640) initialized,1
