,EventTemplate,Occurrences
0,Notification time out: {timeout},37
1,Received connection request {address}:{port},299
2,Send worker leaving thread,262
3,Interrupted while waiting for message on queue,314
4,"Connection broken for id {id}, my id = {id}, error =",291
5,Interrupting SendWorker,266
6,Closed socket connection for client {address}:{port} which had sessionid {sessionid},44
7,caught end of stream exception,37
8,Client attempting to renew session {id} at {address}:{port},3
9,Client attempting to establish new session at {address}:{port},41
10,Established session {id} with negotiated timeout {timeout} for client {address}:{port},50
11,Accepted socket connection from {address}:{port},48
12,Unexpected Exception:,1
13,Connection request from old client {address}:{port}; will be dropped if server is in r-o mode,38
14,Server environment:user.dir=/,1
15,Cannot open channel to {channel} at election address {address}:{port},86
16,Processed session termination for sessionid: {sessionid},47
17,"Expiring session {id}, timeout of {timeout}ms exceeded",40
18,******* GOODBYE {address}:{port} ********,19
19,LOOKING,4
20,My election bind port: 0.0.0.0/0.0.0.0:3888,1
21,"Have smaller server identifier, so dropping the connection: {connection_info}",1
22,FOLLOWING,2
23,"New election. My id =  {id}, proposed zxid={zxid}",1
24,Server environment:host.name=mesos-master-1,1
25,FOLLOWING - LEADER ELECTION TOOK - {time},2
26,"Notification: {leader} (n.leader), {zxid} (n.zxid), {round} (n.round), {state} (n.state), {sid} (n.sid), {peerEpoch} (n.peerEPoch), {myState} (my state)",12
27,autopurge.snapRetainCount set to 3,1
28,Server environment:java.vendor=Oracle Corporation,2
29,Revalidating client: 0x14f05578bd80018,1
30,"Server environment:zookeeper.version={version}, built on {date} GMT",1
31,Server environment:user.name=zookeeper,2
32,Revalidating client: 0x14f05578bd80013,1
33,Server environment:os.name={os},2
34,Closed socket connection for client {address}:{port} (no session established for client),4
35,Exception causing close of session {id} due to {cause},2
36,tickTime set to 2000,1
37,Unexpected exception causing shutdown while sock still open,12
38,Got user-level KeeperException when processing sessionid:{sessionid} type:{type} cxid:{cxid} zxid:{zxid} txntype:{txntype} reqpath:{reqpath} Error Path:{errorpath} Error:KeeperErrorCode = {errorcode} for {node},1
39,Starting quorum peer,1
40,Snapshotting: {id} to {path},2
41,Connection request from old client {address}:{port}; will be dropped if server is in r-o mode},1
42,autopurge.purgeInterval set to 0,3
43,Follower sid: {sid} : {info} : {server},1
44,Revalidating client: 0x24f0557806a001c,1
45,maxSessionTimeout set to {-1},1
46,Server environment:java.class.path={classpath},1
47,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,1
48,shutdown of request processor complete,1
49,Exception causing close of session {id} due to {exception},1
50,First is 0x0,1
51,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,1
52,Sending DIFF,1
53,Getting a snapshot from leader,2
54,minSessionTimeout set to {timeout},2
55,Server environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre,1
