,EventTemplate,Occurrences
0,Created MRAppMaster for application {appattempt},1
1,Executing with tokens:,1
2,"Kind: {kind}, Service: {service}, Ident: (appAttemptId { application_id { id: {id} cluster_timestamp: {timestamp} } attemptId: {attemptId} } keyId: {keyId})",1
3,Using mapred newApiCommitter.,1
4,OutputCommitter set in config {config},1
5,OutputCommitter is {committer},1
6,Registering class {class} for class {handler},2
7,Registering class {class} for class {class},4
8,Registering class {class1} for class {class2},3
9,Default file system [{filesystem}],3
10,Emitting job history data to the timeline server is not enabled,1
11,loaded properties from {file},1
12,Scheduled snapshot period at {seconds} second(s).,1
13,{text} metrics system started,1
14,Adding job token for {job} to jobTokenSecretManager,1
15,Not uberizing {job} because: {reason}; {reason}; {reason};,1
16,Input size for job {job} = {size}. Number of splits = {splits},1
17,Number of reduces for job {job} = {count},1
18,{job}Job Transitioned from NEW to INITED,1
19,"MRAppMaster launching normal, non-uberized, multi-container job {job}.",1
20,Using callQueue class {class},2
21,Starting Socket Reader #{number} for port {port},2
22,Adding protocol {protocol} to the server,1
23,Instantiated MRClientService at {server}/{ip},1
24,IPC Server Responder: starting,2
25,IPC Server listener on {port}: starting,2
26,Logging to {logger} via {adapter},1
27,Http request log for {url} is not defined,1
28,Added global filter '{filter}' (class={class}),1
29,Added filter {filter} (class={class}) to context {context},1
30,Added filter {filter} (class={class}) to context static,1
31,adding path spec: {path},2
32,{server} bound to port {port},1
33,{server},1
34,Extract {type}:{path} to {destination},1
35,Started {server},1
36,Web app /mapreduce started at {port},1
37,Registered webapp guice modules,1
38,JOB_CREATE {job},1
39,nodeBlacklistingEnabled:{bool},1
40,maxTaskFailuresPerNode is {int},1
41,blacklistDisablePercent is {int},1
42,Connecting to ResourceManager at {server},1
43,"maxContainerCapability: <memory:{memory}, vCores:{cores}>",1
44,queue: {queue},1
45,Upper limit on the thread pool size is {limit},1
46,yarn.client.max-cached-nodemanagers-proxies : {number},1
47,{job}Job Transitioned from INITED to SETUP,1
48,Processing the event EventType: {EventType},3
49,{job}Job Transitioned from SETUP to RUNNING,1
50,Resolved {address} to {path},39
51,{task} Task Transitioned from NEW to SCHEDULED,11
52,{attempt} TaskAttempt Transitioned from NEW to UNASSIGNED,14
53,"mapResourceRequest:<memory:{memory}, vCores:{cores}>",1
54,"Event Writer setup for JobId: {jobId}, File: {file}",1
55,"reduceResourceRequest:<memory:{memory}, vCores:{core}>",1
56,Before Scheduling: PendingReds:{int} ScheduledMaps:{int} ScheduledReds:{int} AssignedMaps:{int} AssignedReds:{int} CompletedMaps:{int} CompletedReds:{int} ContAlloc:{int} ContRel:{int} HostLocal:{int} RackLocal:{int},5
57,"getResources() for {application}: ask={ask} release={release} newContainers={newContainers} finishedContainers={finishedContainers} resourcelimit=<memory:{memory}, vCores:{core}> knownNMs={knownNMs}",8
