,EventTemplate,Occurrences
0,Registered signal handlers for [{signals}],1
1,Changing view acls to: {acls},2
2,Changing modify acls to: {acls},2
3,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
4,Slf4jLogger started,1
5,Starting remoting,1
6,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@{address}:{port}],1
7,Successfully started service '{service}' on port {port}.,2
8,Created local directory at {directory},1
9,MemoryStore started with capacity {capacity},1
10,Connecting to driver: spark://{scheduler}@{ip}:{port},1
11,Successfully registered with driver,1
12,Starting executor ID {ID} on host {host},1
13,Server created on {port},1
14,Trying to register BlockManager,1
15,Registered BlockManager,1
16,Got assigned task {task},305
17,Running task {count} in stage {stage} (TID {TID}),305
18,Started reading broadcast variable {variable},37
19,"Block {block} stored as bytes in memory (estimated size {size}, free {free})",51
20,Reading broadcast variable {variable} took {time} ms,37
21,"Block {block} stored as values in memory (estimated size {size}, free {free})",37
22,"Partition {block} not found, computing it",75
23,Input split: {path}:{start}+{length},28
24,Input split: {path}:{start}+{end},2
25,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
26,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
27,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
28,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
29,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
30,"Block {block} stored as bytes in memory (estimated size {size} B, free {free} KB)",60
31,"Times: total = {total}, boot = {boot}, init = {init}, finish = {finish}",375
32,Finished task {count} in stage {stage} (TID {TID}). {bytes} bytes result sent to driver,300
33,Found block {block} locally,257
34,"Block {block}_piece{piece} stored as bytes in memory (estimated size {size}, free {free})",1
35,File Output Committer Algorithm version is 1,30
36,Saved output of task 'attempt_{attempt}_m_{m_id}_{task_id}' to {location},25
37,Saved output of task 'attempt_{attempt}_m_{task}_000000_970' to {location},1
38,attempt_{job_id}_{task_type}_{task_id}_{attempt_id}: {status},30
39,Saved output of task 'attempt_{attempt}_m_{m_id}_{task_id}' to {hdfs_path},1
40,Saved output of task '{task}' to {path},1
41,Saved output of task '{task}' to {location},1
42,Saved output of task 'attempt_{attempt}_m_{m_id}_{task_id}' to {path},1
43,Input split: {path}:{offset}+{length},14
44,Input split: {path},1
