,EventTemplate,Occurrences
0,session closed for user {user},24
1,session opened for user {user} by (uid={uid}),19
2,({user}) CMD (run-parts {path}),14
3,data_thread() got not answer from any [{datasource}] datasource,819
4,"synchronized to {ip}, stratum {stratum}",568
5,[ib_sm_sweep.c:{process_id}]: ********************** NEW SWEEP ********************,62
6,[ib_sm_sweep.c:{process_id}]: No topology change,62
7,[ib_sm_sweep.c:{process_id}]: No configuration change required,62
8,Local disconnected: {reason}.,3
9,connection lost: '{reason}'.,2
10,unable to qualify my own domain name ({hostname}) -- using short name,10
11,"{id}: from={user}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}@localhost",10
12,"{id}: to={user}, ctladdr={user} ({ctladdr}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",4
13,"{id}: to={user}, ctladdr={user} ({ctladdr}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay}] [{relay}], dsn={dsn}, stat={stat}",4
14,DHCPDISCOVER from {mac} via {interface},5
15,DHCPOFFER on {ip} to {mac} via {interface},5
16,DHCPDISCOVER from {mac} via eth1: network {network}: no free leases,15
17,DHCPACK on {ip} to {mac} via {interface},3
18,DHCPREQUEST for {ip} ({ip}) from {mac} via {interface},3
19,START: tftp pid={pid} from={ip},1
20,DHCPREQUEST for {ip} ({ip}) from {mac} via {interface}: {message},9
21,RRD_update ({path}): illegal attempt to update using time {timestamp} when last update time is {timestamp} (minimum one second step),11
22,kernel time sync disabled {code},1
23,time reset {offset} s,1
24,Received SNMP packet(s) from {source},1
25,kernel time sync enabled {status},1
26,({user}) CMD ({path} {arg}),3
27,({user}) CMD ({command}),1
28,({user}) CMD ({command} {argument}),1
29,My unqualified host name ({hostname}) unknown; sleeping for retry,5
30,{os_name}-{os_version} (Kernel Module {module_name} key),1
31,({options}),1
32,DSDT (v001 {manufacturer} {product} 0x{version} {oem} 0x{checksum}) @ {address},1
33,FADT (v001 {manufacturer} {product} 0x{revision} {oem_id} 0x{creator_id}) @ {address},1
34,HPET (v001 {manufacturer} {product} {revision} {oem_id} {oem_table_id}) @ {address},1
35,HPET id: {id} base: {base},1
36,INT_SRC_OVR (bus {bus} bus_irq {bus_irq} global_irq {global_irq} dfl {dfl} dfl {dfl}),1
37,INT_SRC_OVR (bus {bus} bus_irq {bus_irq} global_irq {global_irq} {level}),1
38,IOAPIC (id[{id}] address[{address}] gsi_base[{gsi_base}]),3
39,{message},11
40,LAPIC (acpi_id[{acpi_id}] lapic_id[{lapic_id}] enabled),2
41,LAPIC (acpi_id[0x{acpi_id}] lapic_id[0x{lapic_id}] enabled),2
42,LAPIC_NMI (acpi_id[{acpi_id}] high edge lint[{lint}]),4
43,Local APIC address {address},1
44,MADT (v001 {manufacturer} {product} 0x{revision} {oem_id} 0x{oem_table_id}) @ {address},1
45,MCFG (v001 {manufacturer} {product} 0x{revision} {oem_id} 0x{oem_table_id}) @ {address},1
46,PCI Interrupt Link [LNKA] (IRQs {irqs}) *{number},1
47,PCI Interrupt Link [{link}] (IRQs {irqs}),1
48,PCI Interrupt Link [LNKC] (IRQs {irqs}) *{number},1
49,"PCI Interrupt Link [{link}] (IRQs {irqs}) *{status}, {action}.",3
50,"PCI Interrupt Link [LNKE] (IRQs {irqs}) *{status}, disabled.",1
51,"PCI Interrupt Link [LNKG] (IRQs {irqs}) *{status}, {action}.",1
52,PCI Interrupt Routing Table [\{path}],2
53,PCI Interrupt Routing Table [{path}],6
54,PCI Root Bridge [{bridge}] ({address}),1
55,"PCI interrupt {device}[{type}] -> GSI {gsi} ({trigger}, {polarity}) -> IRQ {irq}",10
56,"PCI interrupt {device}[{subdevice}] -> GSI {gsi} ({trigger}, {polarity}) -> IRQ {irq}",1
57,Power Button ({button}) [{action}],1
58,Processor [CPU{cpu_number}] (supports {support_level}),1
59,Processor [CPU{number}] (supports {state}),1
60,Processor [CPU{cpu_number}] (supports {support}),1
